#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2020 01 03 00 30 999 99.0 99.0  1.07  4.35  3.92 200 9999.0 999.0   8.9 999.0 99.0 99.00
2020 01 03 01 00 999 99.0 99.0  1.17  5.26  4.21 185 9999.0 999.0   8.9 999.0 99.0 99.00
2020 01 03 01 30 999 99.0 99.0  1.24  5.88  4.35 182 9999.0 999.0   8.8 999.0 99.0 99.00
2020 01 03 02 00 999 99.0 99.0  1.54  5.88  4.70 189 9999.0 999.0   8.8 999.0 99.0 99.00
2020 01 03 02 30 999 99.0 99.0  1.58  5.88  4.77 193 9999.0 999.0   8.8 999.0 99.0 99.00
2020 01 03 03 00 999 99.0 99.0  1.63  5.88  4.85 188 9999.0 999.0   8.8 999.0 99.0 99.00
2020 01 03 03 30 999 99.0 99.0  1.57  5.88  4.76 188 9999.0 999.0   8.8 999.0 99.0 99.00
2020 01 03 04 00 999 99.0 99.0  1.62  6.67  4.83 179 9999.0 999.0   8.8 999.0 99.0 99.00
2020 01 03 04 30 999 99.0 99.0  1.51  6.25  4.71 183 9999.0 999.0   8.8 999.0 99.0 99.00
2020 01 03 05 00 999 99.0 99.0  1.49  6.67  4.75 178 9999.0 999.0   8.8 999.0 99.0 99.00
2020 01 03 05 30 999 99.0 99.0  1.48  6.25  4.85 182 9999.0 999.0   8.8 999.0 99.0 99.00
2020 01 03 06 00 999 99.0 99.0  1.47  6.25  4.79 181 9999.0 999.0   8.8 999.0 99.0 99.00
2020 01 03 06 30 999 99.0 99.0  1.64  6.67  5.12 178 9999.0 999.0   8.8 999.0 99.0 99.00
2020 01 03 07 00 999 99.0 99.0  1.62  7.14  5.32 178 9999.0 999.0   8.8 999.0 99.0 99.00
2020 01 03 07 30 999 99.0 99.0  1.44  6.25  4.98 179 9999.0 999.0   8.9 999.0 99.0 99.00
2020 01 03 08 00 999 99.0 99.0  1.63  6.25  5.38 182 9999.0 999.0   8.9 999.0 99.0 99.00
2020 01 03 08 30 999 99.0 99.0  1.67  7.14  5.47 178 9999.0 999.0   8.9 999.0 99.0 99.00
2020 01 03 09 00 999 99.0 99.0  1.68  6.67  5.52 181 9999.0 999.0   8.9 999.0 99.0 99.00
2020 01 03 09 30 999 99.0 99.0  1.68  6.67  5.52 179 9999.0 999.0   8.9 999.0 99.0 99.00
2020 01 03 10 00 999 99.0 99.0  1.48  7.14  5.28 172 9999.0 999.0   8.8 999.0 99.0 99.00
2020 01 03 10 30 999 99.0 99.0  1.58  6.67  5.42 183 9999.0 999.0   8.8 999.0 99.0 99.00
2020 01 03 11 00 999 99.0 99.0  1.46  6.25  5.14 183 9999.0 999.0   8.7 999.0 99.0 99.00
2020 01 03 11 30 999 99.0 99.0  1.47  6.25  5.27 183 9999.0 999.0   8.7 999.0 99.0 99.00
2020 01 03 12 00 999 99.0 99.0  1.50  6.67  5.47 178 9999.0 999.0   8.7 999.0 99.0 99.00
2020 01 03 12 30 999 99.0 99.0  1.52  6.67  5.43 178 9999.0 999.0   8.7 999.0 99.0 99.00
2020 01 03 13 00 999 99.0 99.0  1.64  7.14  5.69 172 9999.0 999.0   8.8 999.0 99.0 99.00
2020 01 03 13 30 999 99.0 99.0  1.57  6.67  5.63 183 9999.0 999.0   8.8 999.0 99.0 99.00
2020 01 03 14 00 999 99.0 99.0  1.63  7.69  5.72 176 9999.0 999.0   8.7 999.0 99.0 99.00
2020 01 03 14 30 999 99.0 99.0  1.80  7.14  5.78 179 9999.0 999.0   8.7 999.0 99.0 99.00
2020 01 03 15 00 999 99.0 99.0  1.83  7.69  5.84 176 9999.0 999.0   8.7 999.0 99.0 99.00
2020 01 03 15 30 999 99.0 99.0  1.90  7.69  6.02 179 9999.0 999.0   8.7 999.0 99.0 99.00
2020 01 03 16 00 999 99.0 99.0  1.88  7.14  5.78 183 9999.0 999.0   8.7 999.0 99.0 99.00
2020 01 03 16 30 999 99.0 99.0  1.99  7.69  5.92 178 9999.0 999.0   8.7 999.0 99.0 99.00
2020 01 03 17 00 999 99.0 99.0  1.87  7.69  5.71 178 9999.0 999.0   8.7 999.0 99.0 99.00
2020 01 03 17 30 999 99.0 99.0  1.95  7.69  5.95 178 9999.0 999.0   8.7 999.0 99.0 99.00
2020 01 03 18 00 999 99.0 99.0  1.94  7.69  5.76 178 9999.0 999.0   8.7 999.0 99.0 99.00
2020 01 03 18 30 999 99.0 99.0  1.71  7.69  5.56 178 9999.0 999.0   8.8 999.0 99.0 99.00
2020 01 03 19 00 999 99.0 99.0  1.66  7.14  5.63 182 9999.0 999.0   8.8 999.0 99.0 99.00
2020 01 03 19 30 999 99.0 99.0  1.65  7.14  5.63 176 9999.0 999.0   8.8 999.0 99.0 99.00
2020 01 03 20 00 999 99.0 99.0  1.53  7.69  5.56 175 9999.0 999.0   8.8 999.0 99.0 99.00
2020 01 03 20 30 999 99.0 99.0  1.42  7.14  5.54 178 9999.0 999.0   8.7 999.0 99.0 99.00
2020 01 03 21 00 999 99.0 99.0  1.39  7.14  5.46 179 9999.0 999.0   8.7 999.0 99.0 99.00
2020 01 03 21 30 999 99.0 99.0  1.33  6.67  5.45 182 9999.0 999.0   8.7 999.0 99.0 99.00
2020 01 03 22 00 999 99.0 99.0  1.25  7.14  5.40 176 9999.0 999.0   8.7 999.0 99.0 99.00
2020 01 03 22 30 999 99.0 99.0  1.28  7.14  5.48 178 9999.0 999.0   8.7 999.0 99.0 99.00
2020 01 03 23 00 999 99.0 99.0  1.13  7.14  5.18 178 9999.0 999.0   8.7 999.0 99.0 99.00
2020 01 03 23 30 999 99.0 99.0  1.15  6.67  5.27 178 9999.0 999.0   8.7 999.0 99.0 99.00
2020 01 04 00 00 999 99.0 99.0  1.05  6.67  5.19 185 9999.0 999.0   8.7 999.0 99.0 99.00
2020 01 04 00 30 999 99.0 99.0  1.02  7.14  5.29 174 9999.0 999.0   8.7 999.0 99.0 99.00
2020 01 04 01 00 999 99.0 99.0  1.06  6.25  5.22 185 9999.0 999.0   8.7 999.0 99.0 99.00
